name,description
Porridge Yam,"Porridge yam is a dish made from yam, often prepared with fluted pumpkin leaves for added flavor. It is one of the many ways to enjoy yam in Nigeria."
Porridge Beans,"Porridge beans is a simple dish made from beans, requiring only a few ingredients. It is a common way to prepare beans in Nigeria."
Noodles,"Noodles are a popular quick meal in Nigeria, especially among students and children, due to their ease of preparation."
Maize,Maize can be eaten as a snack or used to make dishes like pap and eko (agidi). It is commonly consumed in Nigeria.
Bread,"Bread is often eaten for breakfast in Nigeria and can be paired with various dishes like beans, moi-moi, or fried eggs."
Beans,"Beans are a protein-rich legume that can be prepared in various ways, including as porridge or served with rice."
Cat Fish Peppersoup,"Catfish pepper soup is one of Nigeria’s most popular evening recipes, known for its spicy flavor and comforting qualities."
Yam Pepper Soup,"Yam pepper soup is one of the easiest to make Nigerian yam recipes, perfect for utilizing a tuber of yam."
White Yam and Palm Oil,"A delicious yam recipe that is a favorite for many, especially when traveling to hometowns."
Porridge Yam,Yam porridge is a popular Nigerian dish that is easy to make and can be prepared in various ways.
Akara,"Akara or beans cake is a popular Nigerian food enjoyed by the Igbo, Hausa, and Yoruba. It is served as a snack with bread or paired with pap or custard for breakfast."
Ewa Agoyin,Ewa Agoyin is a delicious pepper sauce that is made in Yoruba land and usually served with well-cooked beans. It is often accompanied by fried plantain and assorted meat.
Jollof Rice,"A popular Nigerian dish made with rice, tomatoes, and a variety of spices, often served at gatherings and parties."
Eba,"A starchy side dish made from cassava flour, commonly served with soups."
Egusi Soup,"A thick soup made from ground melon seeds, often served with pounded yam or eba."
Pounded Yam,"A smooth, stretchy dough made from boiled yam, typically served with soups."
Moi Moi,"A steamed bean pudding made from blended black-eyed peas, often served with rice."
Porridge Yam,"A creamy dish made from yam cooked in a porridge-like consistency, often flavored with spices."
Beans Porridge,"A hearty dish made from beans cooked with spices, often served with plantains."
Fried Yam,"Slices of yam that are deep-fried until golden and crispy, often served with eggs or sauce."
Akara (Beans Cake),"Akara or beans cake is a popular Nigerian food enjoyed by the Igbo, Hausa, and Yoruba with slight variations in recipes. It is served as a snack with bread or paired with pap or custard for breakfast."
Ewa Agoyin,"Ewa Agoyin is a delicious pepper sauce made in Yoruba land, usually served with well-cooked beans. It is often accompanied by fried plantain and assorted meat."
Fried Eggs,"Fried eggs are a simple breakfast option in Nigeria, often served with bread, yams, or noodles. It is a quick and easy meal for busy mornings."
Tomato Sauce,Tomato sauce is commonly served with yam in Nigeria. It is easy to prepare and can be enjoyed as a light breakfast or dinner.
Ewa (Beans),"A popular breakfast recipe in Lagos, made with beans and served with a special kind of stew made from ground dry pepper and palm oil."
Porridge Beans,"A dish made by cooking beans alongside yam or plantain, popular in the south and eastern parts of Nigeria, especially among the Igbo tribe."
Nigerian Jollof Rice,"A popular West African dish made with rice, tomatoes, onions, and a variety of spices, often served with fried plantains and protein."
Egusi Soup,"A thick soup made with ground melon seeds, vegetables, and meat or fish, commonly served with fufu."
Efo Riro,"A rich vegetable soup made with spinach or other leafy greens, often cooked with tomatoes, peppers, and assorted meats."
Nigerian Fried Rice,"A colorful rice dish cooked with vegetables and spices, often served at parties and celebrations."
Pepper Soup,"A spicy broth made with meat or fish, flavored with a variety of spices and herbs."
Yam Porridge,"A comforting dish made with yam, vegetables, and spices, often enjoyed as a hearty meal."
Akara,"Fried bean cakes made from black-eyed peas, onions, and spices, commonly served as a snack or breakfast."
Moi Moi,"A steamed bean pudding made from blended black-eyed peas, peppers, and spices, often served as a side dish."
Bitterleaf Soup,"A traditional soup made with bitter leaves, meat, and spices, known for its unique flavor."
Ogbono Soup,"A thick soup made from ground ogbono seeds, often cooked with meat and vegetables."
Agidi (Eko),"Agidi is a Nigerian dish made from cornmeal, often served with soups."
Vegetable Salad,"Combined with other Nigerian foods like jollof rice or fried rice, served as lunch or dinner."
Spaghetti,"A popular food in Nigeria, often included in the local menu."
African Salad (Abacha),"A delightful cuisine indigenous to the Igbos, made quickly."
Edikaikong Soup,"A traditional soup made with water leaves and fluted pumpkin leaves, often served with eba or fufu."
Fried Rice,A beloved Nigerian rice dish that requires a bit of skill to prepare but is very rewarding.
Pepper Soup,A spicy soup that is often consumed on its own or paired with boiled yam or rice.
Soup and Swallow,"Nigerian swallows include eba, fufu, and pounded yam, served with soups like egusi soup."
Nigerian Noodles,"Noodles are a quick meal for many Nigerians, especially students, and can be prepared in under 10 minutes."
Nigerian Porridge Beans,Porridge beans is a popular dish served in many eateries across Nigeria.
Tea and Bread,"A common breakfast in Nigeria, often served with fried eggs."
Spaghetti,"Spaghetti is a popular dish in Nigeria, often served with stew or sauce."
Unripe Plantain Porridge,"A common dish made from unripe plantains, prepared weekly in many homes."
Nigerian Fried Rice,A popular dish often served with chicken and vegetable salad.
Home Made Bread,"Bread is commonly eaten in Nigeria, served as a snack or with tea."
Yamarita,"Yamarita is egg-coated yams that are fried, popular among many Nigerians."
Rice and Tomato Stew,A combination of rice served with a rich tomato stew.
Fruits,"Fruits like watermelon, mango, and pineapple are commonly consumed in Nigeria."
Cat Fish Peppersoup,"Catfish pepper soup is one of Nigeria’s most popular evening recipes, known for its complexity and flavor. It is often referred to as 'point and kill'."
